#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 180000      1.22e+01    2.73e+01      7.17e-03    6.47e-03      1.22e-01    2.73e-01    2.1e-06
 181000      1.02e+01    2.95e+01      4.25e-03    3.72e-04      1.02e-01    2.95e-01    2.1e-06
 182000      2.39e+01    2.10e+01      3.09e-02    1.32e-02      2.39e-01    2.10e-01    2.1e-06
 183000      3.78e+01    1.24e+01      6.24e-03    4.61e-02      3.78e-01    1.24e-01    2.1e-06
 184000      1.91e+01    1.05e+01      5.17e-03    6.79e-03      1.91e-01    1.05e-01    2.1e-06
 185000      1.25e+01    1.48e+01      8.50e-04    4.57e-03      1.25e-01    1.48e-01    1.8e-06
 186000      2.49e+01    5.81e+00      4.64e-03    3.94e-02      2.49e-01    5.81e-02    1.8e-06
 187000      1.08e+01    2.89e+01      2.87e-02    3.87e-02      1.08e-01    2.89e-01    1.8e-06
 188000      2.39e+01    2.77e+01      1.54e-02    2.37e-02      2.39e-01    2.77e-01    1.8e-06
 189000      1.88e+01    2.04e+01      2.15e-02    1.99e-02      1.88e-01    2.04e-01    1.8e-06
 190000      1.02e+01    1.62e+01      2.07e-02    5.93e-03      1.02e-01    1.62e-01    1.5e-06
 191000      1.21e+01    9.45e+00      4.29e-02    3.89e-03      1.21e-01    9.45e-02    1.5e-06
 192000      2.08e+01    1.75e+01      3.29e-03    8.03e-04      2.08e-01    1.75e-01    1.5e-06
 193000      1.28e+01    2.08e+01      1.79e-03    2.52e-02      1.28e-01    2.08e-01    1.5e-06
 194000      2.28e+01    1.23e+01      1.74e-02    2.97e-02      2.28e-01    1.23e-01    1.5e-06
 195000      1.02e+01    1.12e+01      1.57e-02    1.59e-02      1.02e-01    1.12e-01    1.3e-06
 196000      2.86e+01    1.08e+01      1.89e-02    1.41e-03      2.86e-01    1.08e-01    1.3e-06
 197000      1.28e+01    1.22e+01      7.48e-03    1.43e-02      1.28e-01    1.22e-01    1.3e-06
 198000      2.02e+01    1.38e+01      1.60e-02    9.97e-03      2.02e-01    1.38e-01    1.3e-06
 199000      2.36e+01    8.13e+00      2.76e-02    4.18e-02      2.36e-01    8.13e-02    1.3e-06
 200000      2.54e+01    1.08e+01      1.13e-02    4.16e-03      2.54e-01    1.08e-01    1.1e-06
 201000      5.32e+00    2.45e+01      1.31e-02    1.11e-02      5.32e-02    2.45e-01    1.1e-06
 202000      3.41e+01    1.54e+01      3.71e-03    1.46e-02      3.41e-01    1.54e-01    1.1e-06
 203000      2.63e+01    6.41e+00      1.38e-02    7.54e-03      2.63e-01    6.41e-02    1.1e-06
 204000      1.32e+01    1.02e+01      7.63e-03    1.28e-02      1.32e-01    1.02e-01    1.1e-06
 205000      2.90e+01    9.61e+00      1.79e-02    3.22e-03      2.90e-01    9.61e-02    9.0e-07
 206000      8.23e+00    7.79e+00      1.32e-02    1.53e-02      8.23e-02    7.79e-02    9.0e-07
 207000      3.46e+01    1.30e+01      1.06e-03    6.50e-03      3.46e-01    1.30e-01    9.0e-07
 208000      1.56e+01    2.12e+01      4.92e-03    7.69e-03      1.56e-01    2.12e-01    9.0e-07
 209000      3.06e+01    5.67e+00      8.89e-03    4.36e-06      3.06e-01    5.67e-02    9.0e-07
 210000      1.32e+01    5.22e+00      8.98e-03    3.14e-04      1.32e-01    5.22e-02    7.6e-07
 211000      1.24e+01    1.22e+01      3.56e-02    1.01e-02      1.24e-01    1.22e-01    7.6e-07
 212000      1.37e+01    7.71e+00      1.12e-02    6.25e-03      1.37e-01    7.71e-02    7.6e-07
 213000      1.23e+01    2.92e+01      1.22e-02    2.86e-02      1.23e-01    2.92e-01    7.6e-07
 214000      6.12e+00    8.10e+00      5.10e-03    1.55e-02      6.12e-02    8.10e-02    7.6e-07
 215000      2.14e+01    5.71e+01      1.38e-02    1.69e-02      2.14e-01    5.71e-01    6.4e-07
 216000      6.87e+00    1.41e+01      7.63e-03    1.01e-02      6.87e-02    1.41e-01    6.4e-07
 217000      1.54e+01    2.13e+01      1.50e-03    1.76e-02      1.54e-01    2.13e-01    6.4e-07
 218000      3.11e+01    2.78e+01      1.58e-02    1.77e-03      3.11e-01    2.78e-01    6.4e-07
 219000      1.43e+01    4.22e+01      5.32e-03    3.71e-02      1.43e-01    4.22e-01    6.4e-07
 220000      2.05e+01    1.25e+01      2.18e-03    4.24e-02      2.05e-01    1.25e-01    5.4e-07
 221000      1.37e+01    1.38e+01      7.99e-03    6.74e-03      1.37e-01    1.38e-01    5.4e-07
 222000      3.97e+01    1.54e+01      5.96e-03    1.16e-02      3.97e-01    1.54e-01    5.4e-07
 223000      1.40e+01    3.65e+01      4.97e-03    2.20e-02      1.40e-01    3.65e-01    5.4e-07
 224000      1.95e+01    1.13e+01      2.11e-04    7.15e-03      1.95e-01    1.13e-01    5.4e-07
 225000      1.60e+01    2.70e+01      2.65e-03    4.48e-02      1.60e-01    2.70e-01    4.6e-07
 226000      4.68e+01    1.05e+01      2.57e-02    2.89e-03      4.68e-01    1.05e-01    4.6e-07
 227000      8.13e+00    8.33e+00      1.60e-02    1.02e-03      8.13e-02    8.33e-02    4.6e-07
 228000      1.71e+01    7.56e+00      7.72e-04    3.47e-02      1.71e-01    7.56e-02    4.6e-07
 229000      4.04e+01    4.39e+01      2.59e-02    2.02e-02      4.04e-01    4.39e-01    4.6e-07
 230000      3.26e+01    1.70e+01      7.09e-03    6.13e-03      3.26e-01    1.70e-01    3.8e-07
 231000      1.27e+01    5.96e+00      3.56e-02    3.02e-03      1.27e-01    5.96e-02    3.8e-07
 232000      1.12e+01    1.26e+01      3.70e-02    1.00e-02      1.12e-01    1.26e-01    3.8e-07
 233000      9.50e+00    2.31e+01      4.38e-02    9.64e-04      9.50e-02    2.31e-01    3.8e-07
 234000      7.20e+00    7.82e+00      1.96e-03    9.01e-03      7.20e-02    7.82e-02    3.8e-07
 235000      1.35e+01    9.89e+00      1.33e-02    7.00e-03      1.35e-01    9.89e-02    3.2e-07
 236000      2.65e+01    6.57e+00      1.28e-02    3.83e-03      2.65e-01    6.57e-02    3.2e-07
 237000      2.07e+01    2.08e+01      2.15e-02    7.76e-03      2.07e-01    2.08e-01    3.2e-07
 238000      1.67e+01    1.32e+01      9.33e-03    3.18e-02      1.67e-01    1.32e-01    3.2e-07
 239000      1.14e+01    1.24e+01      4.12e-02    3.72e-03      1.14e-01    1.24e-01    3.2e-07
 240000      3.06e+01    7.77e+00      1.50e-02    1.07e-02      3.06e-01    7.77e-02    2.7e-07
 241000      3.43e+01    2.26e+01      8.19e-04    4.74e-03      3.43e-01    2.26e-01    2.7e-07
 242000      2.16e+01    2.33e+01      1.39e-03    4.00e-03      2.16e-01    2.33e-01    2.7e-07
 243000      2.92e+01    2.54e+01      6.38e-03    1.36e-02      2.92e-01    2.54e-01    2.7e-07
 244000      1.60e+01    2.43e+01      4.06e-02    4.23e-02      1.60e-01    2.43e-01    2.7e-07
 245000      2.26e+01    5.25e+00      1.45e-02    2.73e-03      2.26e-01    5.25e-02    2.3e-07
