#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 149000      1.99e+01    1.33e+01      1.26e-02    6.78e-03      1.99e-01    1.33e-01    7.0e-06
 150000      1.76e+01    2.25e+01      6.87e-04    2.47e-03      1.76e-01    2.25e-01    5.9e-06
 151000      1.56e+01    1.48e+01      2.54e-02    2.18e-02      1.56e-01    1.48e-01    5.9e-06
 152000      7.20e+00    3.04e+01      3.91e-02    7.31e-02      7.20e-02    3.04e-01    5.9e-06
 153000      1.87e+01    1.07e+01      1.85e-02    1.19e-02      1.87e-01    1.07e-01    5.9e-06
 154000      3.04e+01    1.52e+01      4.12e-02    1.81e-02      3.04e-01    1.52e-01    5.9e-06
 155000      2.20e+01    1.52e+01      4.73e-03    2.47e-02      2.20e-01    1.52e-01    5.0e-06
 156000      6.55e+00    1.98e+01      4.92e-02    6.84e-03      6.55e-02    1.98e-01    5.0e-06
 157000      1.46e+01    1.76e+01      4.10e-02    2.69e-02      1.46e-01    1.76e-01    5.0e-06
 158000      9.05e+00    2.12e+01      5.05e-02    1.82e-02      9.05e-02    2.12e-01    5.0e-06
 159000      2.14e+01    3.79e+01      7.01e-02    4.15e-02      2.14e-01    3.79e-01    5.0e-06
 160000      1.06e+01    1.81e+01      9.21e-02    6.27e-02      1.06e-01    1.81e-01    4.2e-06
 161000      7.19e+00    1.54e+01      3.99e-02    2.78e-02      7.19e-02    1.54e-01    4.2e-06
 162000      1.49e+01    2.02e+01      1.75e-02    5.45e-02      1.49e-01    2.02e-01    4.2e-06
 163000      2.01e+01    1.14e+01      2.66e-02    1.48e-02      2.01e-01    1.14e-01    4.2e-06
 164000      1.30e+01    2.69e+01      1.13e-02    2.82e-02      1.30e-01    2.69e-01    4.2e-06
 165000      1.94e+01    1.79e+01      2.95e-02    3.71e-02      1.94e-01    1.79e-01    3.5e-06
 166000      2.13e+01    9.69e+00      2.91e-02    3.67e-02      2.13e-01    9.69e-02    3.5e-06
 167000      4.64e+01    1.73e+01      2.85e-02    1.08e-02      4.64e-01    1.73e-01    3.5e-06
 168000      8.30e+00    3.06e+01      3.02e-02    6.29e-02      8.30e-02    3.06e-01    3.5e-06
 169000      2.74e+01    9.95e+00      1.54e-02    4.63e-03      2.74e-01    9.95e-02    3.5e-06
 170000      5.76e+00    1.32e+01      1.40e-02    1.08e-02      5.76e-02    1.32e-01    3.0e-06
 171000      1.23e+01    1.30e+01      1.14e-02    1.91e-02      1.23e-01    1.30e-01    3.0e-06
 172000      2.68e+01    2.07e+01      3.97e-02    1.47e-02      2.68e-01    2.07e-01    3.0e-06
 173000      2.04e+01    7.10e+00      4.27e-01    1.67e-02      2.04e-01    7.10e-02    3.0e-06
 174000      5.43e+00    4.14e+01      4.06e-02    2.79e-02      5.43e-02    4.14e-01    3.0e-06
 175000      1.59e+01    2.05e+01      2.19e-02    4.15e-02      1.59e-01    2.05e-01    2.5e-06
 176000      1.43e+01    1.54e+01      1.96e-01    1.10e-02      1.43e-01    1.54e-01    2.5e-06
 177000      2.14e+01    6.16e+00      1.70e-02    3.47e-02      2.14e-01    6.16e-02    2.5e-06
 178000      3.37e+01    1.03e+01      3.13e-02    7.23e-02      3.37e-01    1.03e-01    2.5e-06
 179000      1.95e+01    2.36e+01      2.98e-01    6.88e-02      1.95e-01    2.36e-01    2.5e-06
