#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 212000      2.63e+01    1.81e+01      1.11e-03    2.98e-02      2.63e-01    1.81e-01    7.6e-07
 213000      1.42e+01    1.85e+01      1.42e-02    1.41e-02      1.42e-01    1.85e-01    7.6e-07
 214000      4.60e+00    3.93e+01      2.25e-02    1.10e-02      4.60e-02    3.93e-01    7.6e-07
 215000      1.90e+01    1.69e+01      4.34e-03    2.49e-02      1.90e-01    1.69e-01    6.4e-07
 216000      1.76e+01    1.39e+01      3.15e-03    8.36e-03      1.76e-01    1.39e-01    6.4e-07
 217000      1.18e+01    1.63e+01      1.31e-02    9.56e-03      1.18e-01    1.63e-01    6.4e-07
 218000      1.01e+01    2.04e+01      8.01e-03    8.43e-03      1.01e-01    2.04e-01    6.4e-07
 219000      2.03e+01    2.30e+01      1.67e-03    1.42e-02      2.03e-01    2.30e-01    6.4e-07
 220000      1.09e+01    7.27e+00      2.78e-02    3.17e-02      1.09e-01    7.27e-02    5.4e-07
 221000      2.02e+01    1.05e+01      2.31e-02    1.01e-02      2.02e-01    1.05e-01    5.4e-07
 222000      2.27e+01    1.65e+01      2.56e-02    1.79e-02      2.27e-01    1.65e-01    5.4e-07
 223000      1.83e+01    1.12e+01      1.23e-02    1.82e-02      1.83e-01    1.12e-01    5.4e-07
 224000      3.68e+01    3.32e+01      1.36e-02    4.98e-02      3.68e-01    3.32e-01    5.4e-07
 225000      1.15e+01    2.52e+01      2.68e-02    8.19e-03      1.15e-01    2.52e-01    4.6e-07
 226000      1.94e+01    5.00e+01      3.23e-02    9.01e-01      1.94e-01    5.00e-01    4.6e-07
 227000      1.69e+01    2.03e+01      3.59e-02    2.67e-02      1.69e-01    2.03e-01    4.6e-07
 228000      2.52e+01    9.57e+00      7.06e-03    2.15e-02      2.52e-01    9.57e-02    4.6e-07
 229000      2.58e+01    2.22e+01      1.54e-03    1.35e-02      2.58e-01    2.22e-01    4.6e-07
 230000      1.02e+01    3.55e+01      2.76e-02    2.25e-02      1.02e-01    3.55e-01    3.8e-07
 231000      1.98e+01    1.39e+01      2.51e-02    1.21e-02      1.98e-01    1.39e-01    3.8e-07
 232000      9.25e+00    3.34e+01      9.50e-03    9.28e-02      9.25e-02    3.34e-01    3.8e-07
 233000      2.50e+01    6.09e+00      9.43e-04    1.47e-02      2.50e-01    6.09e-02    3.8e-07
 234000      1.91e+01    2.91e+01      1.01e-02    1.03e-03      1.91e-01    2.91e-01    3.8e-07
 235000      2.92e+01    3.36e+01      2.69e-03    1.67e-02      2.92e-01    3.36e-01    3.2e-07
 236000      2.10e+01    2.22e+01      1.59e-02    2.53e-02      2.10e-01    2.22e-01    3.2e-07
 237000      3.09e+01    1.16e+01      9.32e-03    5.12e-03      3.09e-01    1.16e-01    3.2e-07
 238000      9.34e+00    1.53e+01      1.30e-02    2.99e-02      9.34e-02    1.53e-01    3.2e-07
 239000      1.00e+01    2.51e+01      1.28e-02    2.62e-02      1.00e-01    2.51e-01    3.2e-07
 240000      1.86e+01    2.66e+01      2.06e-02    2.96e-02      1.86e-01    2.66e-01    2.7e-07
 241000      3.16e+01    2.35e+01      5.69e-02    1.20e-03      3.16e-01    2.35e-01    2.7e-07
 242000      1.58e+01    4.37e+01      2.68e-02    2.69e-02      1.58e-01    4.37e-01    2.7e-07
 243000      1.30e+01    1.57e+01      2.95e-02    1.22e-02      1.30e-01    1.57e-01    2.7e-07
 244000      2.10e+01    1.52e+01      7.69e-03    5.50e-03      2.10e-01    1.52e-01    2.7e-07
 245000      1.25e+01    1.53e+01      1.43e-02    2.57e-02      1.25e-01    1.53e-01    2.3e-07
 246000      3.16e+01    1.76e+01      2.55e-02    9.16e-03      3.16e-01    1.76e-01    2.3e-07
 247000      5.68e+00    1.58e+01      1.80e-02    1.80e-02      5.68e-02    1.58e-01    2.3e-07
 248000      1.17e+01    2.48e+01      1.96e-02    1.96e-02      1.17e-01    2.48e-01    2.3e-07
 249000      2.50e+01    1.83e+01      6.93e-03    2.38e-02      2.50e-01    1.83e-01    2.3e-07
 250000      1.95e+01    9.45e+00      2.60e-02    1.77e-02      1.95e-01    9.45e-02    1.9e-07
 251000      2.82e+01    1.60e+01      8.40e-03    3.58e-02      2.82e-01    1.60e-01    1.9e-07
 252000      2.38e+01    9.07e+00      2.45e-04    1.04e-02      2.38e-01    9.07e-02    1.9e-07
 253000      1.66e+01    6.63e+00      1.07e-02    2.87e-02      1.66e-01    6.63e-02    1.9e-07
 254000      2.31e+01    6.19e+00      1.34e-02    1.44e-02      2.31e-01    6.19e-02    1.9e-07
 255000      1.80e+01    1.49e+01      2.66e-02    1.64e-02      1.80e-01    1.49e-01    1.6e-07
 256000      1.39e+01    2.96e+01      1.69e-02    1.87e-02      1.39e-01    2.96e-01    1.6e-07
 257000      6.62e+00    1.80e+01      1.76e-02    2.66e-02      6.62e-02    1.80e-01    1.6e-07
 258000      5.94e+00    1.69e+01      1.64e-02    1.52e-02      5.94e-02    1.69e-01    1.6e-07
